,Name,Legal Name,Start Date,Street Number,Street Name,ZIP Code,Lat,Lon,Category,tract
659,Subway #34651,Tolmer Foods Inc,12/30/2009,4526,Broadway Blvd,15146,40.390084,-79.767156,NO Dollar Menu,521301
660,Subway #35112,Sahanaa Enterprises of Monroeville Inc,11/24/2007,4145,Wm Penn Hwy,15146,40.439415999999994,-79.765929,NO Dollar Menu,
661,Subway #35690,Hat Trick Company Inc,11/3/2011,101,Station Sq Dr,15219,40.432446,-80.004039,NO Dollar Menu,
662,Subway #36717,Jaiveer I Jasraj LLC,11/17/2011,300,Walmart Dr,15044,40.623044,-79.946493,NO Dollar Menu,408002
663,Subway #36783,Fareed LLC,11/5/2015,2200,Washington Pike,15106,40.386653,-80.096183,NO Dollar Menu,
664,Subway #39339,Tolmer Foods Inc,4/13/2007,995,Greensburg Pike,15221,40.416596000000006,-79.840047,NO Dollar Menu,
665,Subway #39841,M & N Corporation,11/10/2009,,Pgh Intl Airport / Ne-2,15231,40.495309000000006,-80.235291,NO Dollar Menu,
666,Subway #40231 (Wal-Mart),Miller & Shotsberger,8/29/2006,5055,Library Rd,15102,40.33883,-80.024575,NO Dollar Menu,475401
667,Subway #41022,Miller & Shotsberger Inc,2/21/2007,219,Shiloh St,15211,40.430093,-80.007181,NO Dollar Menu,191400
668,Subway #42119,Submanagement Inc,2/4/2008,100,Highlands Mall,15065,40.646695,-79.71311999999999,NO Dollar Menu,
669,Subway #44309,,9/26/2008,322,Curry Hollow Rd,15236,40.337579999999996,-79.97663,NO Dollar Menu,489002
670,Subway #48584,M & N Corp,2/5/2010,,Pgh Intl Airport / Se-15,15231,40.495309000000006,-80.235291,NO Dollar Menu,
671,Subway #50151,SW 50151 Inc,11/14/2011,2880,Industrial Bo,15102,40.327841,-80.03859399999999,NO Dollar Menu,475301
672,Subway #54217,Tolmer Foods,7/20/2012,1035,5th Ave,15219,40.43888,-79.989485,NO Dollar Menu,020100
673,Subway #58298,Sunny Nikhil Inc,3/14/2013,537,Beaver St,15143,40.539505,-80.17923,NO Dollar Menu,445500
674,Subway #58836,Sancar LLC,9/24/2013,4721,McKnight Rd,15237,40.517804999999996,-80.005705,NO Dollar Menu,429100
675,Subway #59528,,10/15/2013,4313,Walnut St,15132,40.322136,-79.83397099999999,NO Dollar Menu,
676,Subway #59964,Hat Trick Company Inc,4/9/2014,1212,E Carson Street,15203,40.428581,-79.985814,NO Dollar Menu,170200
677,Subway #61053,,3/24/2015,1846,Centre Ave,15219,40.442640999999995,-79.982151,NO Dollar Menu,030500
678,Subway #61470,Subway Sandwiches & Salads Inc,5/30/2014,84,Allegheny River Blvd,15147,40.497234000000006,-79.844178,NO Dollar Menu,523800
679,Subway #65130,Shakti & Nonu Inc,6/4/2015,550,Butler St,15223,40.500796,-79.94342900000001,NO Dollar Menu,425000
680,Subway #65416,Syed Holdings LLC,10/27/2015,48,Monongahela Ave,15045,40.33471,-79.890986,NO Dollar Menu,499300
681,Subway Salads & Sandwiches,Kharabeam LLC,2/10/2011,3336,Babcock Blvd,15237,40.534440000000004,-80.01876700000001,NO Dollar Menu,429500
